,property_type,land_size_bin,yr,count,mean,std,min,25%,50%,75%,max
113,house,400,2014,428.0,1046132.7219626168,405424.7629731974,360000.0,780000.0,930000.0,1261250.0,2900000.0
114,house,400,2015,554.0,1237538.059566787,525216.4623055093,411750.0,857000.0,1117750.0,1498750.0,4550000.0
115,house,400,2016,633.0,1245729.6192733017,582427.7040324204,420000.0,854000.0,1080000.0,1520000.0,5300000.0
116,house,400,2017,619.0,1319154.0936995153,552161.3954083344,465000.0,949700.0,1170000.0,1580000.0,4050000.0
117,house,400,2018,552.0,1220484.963768116,521225.7265592535,500000.0,869750.0,1050000.0,1409250.0,3700000.0
118,house,400,2019,802.0,1191954.0810473815,718611.6639082395,509000.0,850000.0,1000000.0,1320750.0,15250000.0
119,house,400,2020,1161.0,1263528.233419466,673928.4566934216,530000.0,881000.0,1060000.0,1411000.0,10000000.0
120,house,400,2021,2002.0,1560033.1633366633,760390.9178914094,50000.0,1041250.0,1380000.0,1830000.0,12000000.0
121,house,400,2022,773.0,1548447.8033635188,686747.6354112726,736000.0,1118000.0,1400000.0,1765000.0,11050000.0
122,house,600,1970,0.0,,,,,,,
123,house,600,2001,1.0,896000.0,,896000.0,896000.0,896000.0,896000.0,896000.0
124,house,600,2004,3.0,481666.6666666667,55752.42894559244,440000.0,450000.0,460000.0,502500.0,545000.0
125,house,600,2005,5.0,476400.0,45927.116173345785,410000.0,465000.0,470000.0,506000.0,531000.0
126,house,600,2006,1.0,498000.0,,498000.0,498000.0,498000.0,498000.0,498000.0
127,house,600,2007,12.0,679667.0833333334,233266.1121830439,422000.0,485750.0,662500.0,816500.0,1100000.0
128,house,600,2008,49.0,711453.8775510204,296178.878887801,377990.0,498000.0,615000.0,835000.0,2030000.0
129,house,600,2009,93.0,853193.1935483871,448862.3261373102,395000.0,580000.0,774000.0,985000.0,3750000.0
130,house,600,2010,105.0,926023.8,455911.3750135841,430000.0,616000.0,763000.0,1100000.0,3450000.0
131,house,600,2011,105.0,891881.9047619047,406653.46705219144,343500.0,595000.0,818000.0,1072500.0,2900000.0
132,house,600,2012,149.0,864576.5167785235,391247.75043678645,430000.0,645000.0,788000.0,970000.0,4200000.0
133,house,600,2013,221.0,975103.0,446473.49356242456,315000.0,725000.0,856000.0,1150500.0,5000000.0
134,house,600,2014,419.0,1108211.2649164677,455121.49797301897,1000.0,812000.0,988000.0,1338794.0,5380000.0
135,house,600,2015,576.0,1366761.814236111,510726.83294342656,460000.0,1000000.0,1318500.0,1613250.0,5500000.0
136,house,600,2016,532.0,1380674.3890977444,513459.77148011106,460000.0,1040000.0,1320000.0,1585500.0,4375000.0
137,house,600,2017,445.0,1588614.4202247192,647533.7930632008,610000.0,1180000.0,1480000.0,1887000.0,7350000.0
138,house,600,2018,453.0,1430249.0618101545,619580.3021119875,510000.0,1000000.0,1288000.0,1688000.0,5350000.0
139,house,600,2019,693.0,1355325.9206349207,651256.3622091558,530000.0,950000.0,1240000.0,1540000.0,7250000.0
140,house,600,2020,928.0,1488079.020474138,687727.6723058932,520000.0,1050900.0,1350500.0,1755000.0,8800000.0
141,house,600,2021,1398.0,1891639.9599427753,859494.6895259753,634950.0,1350000.0,1750000.0,2280000.0,12500000.0
142,house,600,2022,528.0,1837330.4659090908,763203.2526750759,760000.0,1328750.0,1680000.0,2157500.0,6680000.0
143,house,800,2004,1.0,850000.0,,850000.0,850000.0,850000.0,850000.0,850000.0
144,house,800,2007,11.0,704215.0,327969.44518506597,865.0,549000.0,680000.0,942500.0,1165000.0
145,house,800,2008,18.0,821632.6666666666,306973.29733803927,430000.0,541250.0,862500.0,1002166.0,1550000.0
146,house,800,2009,37.0,949548.2972972973,333577.18305853935,421000.0,690000.0,890000.0,1170000.0,2140000.0
147,house,800,2010,40.0,1147803.45,338123.0513747499,585000.0,841000.0,1245000.0,1382500.0,1735000.0
148,house,800,2011,42.0,914500.0,282557.3975793755,572000.0,687250.0,840000.0,1060000.0,1995000.0
149,house,800,2012,60.0,925588.3333333334,281633.8265096423,520000.0,745000.0,850000.0,1098750.0,1928000.0
150,house,800,2013,104.0,1088815.3846153845,341720.9074609969,325000.0,840000.0,1032500.0,1253000.0,2385000.0
151,house,800,2014,195.0,1271384.9538461538,422816.8442538159,500000.0,965000.0,1189000.0,1510500.0,3280000.0
152,house,800,2015,173.0,1602172.7630057803,605995.3960844922,640000.0,1244000.0,1480000.0,1810000.0,4850000.0
153,house,800,2016,176.0,1605675.2897727273,509669.9379494718,633500.0,1290625.0,1515000.0,1802560.0,3550000.0
154,house,800,2017,182.0,1853505.456043956,655812.4824285692,867500.0,1417000.0,1703500.0,2097500.0,5100000.0
155,house,800,2018,144.0,1645085.4166666667,601354.8900373667,575000.0,1310000.0,1512000.0,1923750.0,4560000.0
156,house,800,2019,235.0,1540171.225531915,531074.7784811149,690000.0,1188000.0,1460000.0,1750000.0,4120000.0
157,house,800,2020,293.0,1760544.5392491468,879079.5256801887,640000.0,1310000.0,1610000.0,1985000.0,10860000.0
158,house,800,2021,438.0,2249302.4566210047,876357.9806996871,605000.0,1676250.0,2095000.0,2653750.0,7000000.0
159,house,800,2022,169.0,2258301.840236686,825555.5091917431,905000.0,1680000.0,2100000.0,2650000.0,5800000.0
160,house,1000,2005,1.0,470000.0,,470000.0,470000.0,470000.0,470000.0,470000.0
161,house,1000,2007,1.0,445000.0,,445000.0,445000.0,445000.0,445000.0,445000.0
162,house,1000,2008,8.0,861750.0,418128.73957328364,499000.0,570000.0,760000.0,921250.0,1750000.0
163,house,1000,2009,14.0,1037678.5714285715,372961.309972313,445000.0,733375.0,1100000.0,1294500.0,1595000.0
164,house,1000,2010,12.0,1217833.3333333333,452314.6196526431,528000.0,962500.0,1080000.0,1431250.0,2320000.0
165,house,1000,2011,12.0,1299583.3333333333,626814.5235791022,610000.0,873250.0,1180000.0,1396250.0,2700000.0
166,house,1000,2012,17.0,1009832.6470588235,269085.64190907264,562655.0,780000.0,1065000.0,1175000.0,1500000.0
167,house,1000,2013,37.0,1235418.9189189188,435838.64741045685,566000.0,910000.0,1175000.0,1480000.0,2338000.0
168,house,1000,2014,58.0,1357337.948275862,481980.5820700417,495000.0,1026500.0,1250000.0,1641500.0,3000000.0
169,house,1000,2015,65.0,1664984.6153846155,605187.8709414253,700000.0,1305000.0,1580000.0,1910000.0,3600000.0
170,house,1000,2016,58.0,1812394.6206896552,656792.1268047682,910000.0,1402500.0,1650000.0,2102750.0,4050000.0
171,house,1000,2017,67.0,1869816.2388059702,691637.7656635469,700000.0,1302500.0,1728000.0,2225000.0,4200000.0
172,house,1000,2018,39.0,1814512.8205128205,708031.9507284694,690000.0,1260000.0,1830000.0,2140000.0,3880000.0
173,house,1000,2019,58.0,1578586.2068965517,592318.8607404535,735000.0,1092500.0,1623750.0,1928000.0,3705000.0
174,house,1000,2020,87.0,2005296.551724138,825516.2781272623,820000.0,1470000.0,1850000.0,2425000.0,5955000.0
175,house,1000,2021,136.0,2355620.1102941176,1026563.6234546548,750000.0,1571300.0,2205000.0,2863000.0,5901000.0
176,house,1000,2022,49.0,2421602.0408163266,903952.7145841654,1060000.0,1830000.0,2400000.0,2900000.0,5800000.0
177,residential-other,0,2013,1.0,625000.0,,625000.0,625000.0,625000.0,625000.0,625000.0
178,residential-other,0,2016,0.0,,,,,,,
179,residential-other,0,2017,0.0,,,,,,,
180,residential-other,0,2018,1.0,690000.0,,690000.0,690000.0,690000.0,690000.0,690000.0
181,residential-other,0,2020,1.0,481000.0,,481000.0,481000.0,481000.0,481000.0,481000.0
182,residential-other,0,2021,3.0,4164000.0,4321461.32691246,1062000.0,1696000.0,2330000.0,5715000.0,9100000.0
183,residential-other,200,2015,1.0,2550000.0,,2550000.0,2550000.0,2550000.0,2550000.0,2550000.0
184,residential-other,200,2017,0.0,,,,,,,
185,residential-other,200,2018,0.0,,,,,,,
186,residential-other,200,2019,2.0,1712500.0,159099.02576697318,1600000.0,1656250.0,1712500.0,1768750.0,1825000.0
187,residential-other,200,2020,1.0,480000.0,,480000.0,480000.0,480000.0,480000.0,480000.0
188,residential-other,200,2021,1.0,555000.0,,555000.0,555000.0,555000.0,555000.0,555000.0
189,residential-other,200,2022,2.0,1309155.0,123906.32126731872,1221540.0,1265347.5,1309155.0,1352962.5,1396770.0
190,residential-other,400,2004,1.0,350000.0,,350000.0,350000.0,350000.0,350000.0,350000.0
191,residential-other,400,2005,1.0,310000.0,,310000.0,310000.0,310000.0,310000.0,310000.0
192,residential-other,400,2009,1.0,380000.0,,380000.0,380000.0,380000.0,380000.0,380000.0
193,residential-other,400,2011,0.0,,,,,,,
194,residential-other,400,2012,1.0,298000.0,,298000.0,298000.0,298000.0,298000.0,298000.0
195,residential-other,400,2014,1.0,565000.0,,565000.0,565000.0,565000.0,565000.0,565000.0
196,residential-other,400,2016,1.0,545000.0,,545000.0,545000.0,545000.0,545000.0,545000.0
197,residential-other,400,2018,3.0,1278333.3333333333,1362775.9659361965,425000.0,492500.0,560000.0,1705000.0,2850000.0
198,residential-other,600,2011,1.0,2580000.0,,2580000.0,2580000.0,2580000.0,2580000.0,2580000.0
199,residential-other,600,2012,1.0,382500.0,,382500.0,382500.0,382500.0,382500.0,382500.0
200,residential-other,600,2013,1.0,720000.0,,720000.0,720000.0,720000.0,720000.0,720000.0
201,residential-other,600,2015,1.0,4599000.0,,4599000.0,4599000.0,4599000.0,4599000.0,4599000.0
202,residential-other,600,2016,1.0,835000.0,,835000.0,835000.0,835000.0,835000.0,835000.0
203,residential-other,600,2019,1.0,800000.0,,800000.0,800000.0,800000.0,800000.0,800000.0
204,residential-other,600,2020,2.0,1165000.0,332340.1871576773,930000.0,1047500.0,1165000.0,1282500.0,1400000.0
205,residential-other,800,2011,0.0,,,,,,,
206,residential-other,800,2015,1.0,1170000.0,,1170000.0,1170000.0,1170000.0,1170000.0,1170000.0
207,residential-other,800,2022,1.0,1758410.0,,1758410.0,1758410.0,1758410.0,1758410.0,1758410.0
208,residential-other,1000,2013,1.0,727500.0,,727500.0,727500.0,727500.0,727500.0,727500.0
209,residential-other,1000,2021,1.0,2500000.0,,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0
210,terrace,0,2008,1.0,885000.0,,885000.0,885000.0,885000.0,885000.0,885000.0
211,terrace,0,2009,1.0,459000.0,,459000.0,459000.0,459000.0,459000.0,459000.0
212,terrace,0,2011,1.0,550000.0,,550000.0,550000.0,550000.0,550000.0,550000.0
213,terrace,0,2012,3.0,658333.3333333334,28431.203515386635,635000.0,642500.0,650000.0,670000.0,690000.0
214,terrace,0,2013,6.0,900277.3333333334,96892.60874734804,800000.0,812500.0,901944.0,979388.0,1009888.0
215,terrace,0,2014,4.0,985000.0,201411.68453361056,800000.0,882500.0,935000.0,1037500.0,1270000.0
216,terrace,0,2015,5.0,1532000.0,685251.7785456671,850000.0,1110000.0,1220000.0,1980000.0,2500000.0
217,terrace,0,2016,3.0,1337000.0,345278.14874387864,1000000.0,1160500.0,1321000.0,1505500.0,1690000.0
218,terrace,0,2017,5.0,1131000.0,258055.22664732058,685000.0,1150000.0,1225000.0,1260000.0,1335000.0
219,terrace,0,2018,6.0,1247083.3333333333,100578.53482063986,1120000.0,1173125.0,1250000.0,1325000.0,1365000.0
220,terrace,0,2019,15.0,1381000.0,449329.65944520384,680000.0,1070000.0,1300000.0,1582500.0,2350000.0
221,terrace,0,2020,25.0,1674140.0,566154.0117317901,902500.0,1310000.0,1550000.0,1850000.0,3060000.0
222,terrace,0,2021,36.0,2293236.111111111,977986.1705574305,710000.0,1640250.0,2127500.0,2752500.0,4900000.0
223,terrace,0,2022,23.0,2767734.782608696,900054.6244073168,1175000.0,2170000.0,2635000.0,3175000.0,4800000.0
224,terrace,200,2008,1.0,720000.0,,720000.0,720000.0,720000.0,720000.0,720000.0
225,terrace,200,2009,1.0,1155000.0,,1155000.0,1155000.0,1155000.0,1155000.0,1155000.0
226,terrace,200,2010,1.0,1225000.0,,1225000.0,1225000.0,1225000.0,1225000.0,1225000.0
227,terrace,200,2011,1.0,1580000.0,,1580000.0,1580000.0,1580000.0,1580000.0,1580000.0
228,terrace,200,2012,1.0,2150000.0,,2150000.0,2150000.0,2150000.0,2150000.0,2150000.0
229,terrace,200,2013,3.0,911962.6666666666,162047.09248034452,725000.0,861944.0,998888.0,1005444.0,1012000.0
230,terrace,200,2014,4.0,1498750.0,318652.76294633525,1200000.0,1237500.0,1490000.0,1751250.0,1815000.0
231,terrace,200,2016,2.0,922500.0,53033.00858899106,885000.0,903750.0,922500.0,941250.0,960000.0
232,terrace,200,2019,2.0,1770000.0,1173797.2567696688,940000.0,1355000.0,1770000.0,2185000.0,2600000.0
233,terrace,200,2020,7.0,2709285.714285714,947089.526617506,1535000.0,1997500.0,2500000.0,3517500.0,3900000.0
234,terrace,200,2021,11.0,2367545.4545454546,852388.3344622172,1125000.0,1845000.0,2191000.0,3025000.0,3875000.0
235,terrace,200,2022,2.0,1202500.0,109601.55108391486,1125000.0,1163750.0,1202500.0,1241250.0,1280000.0
236,townhouse,0,2006,1.0,425000.0,,425000.0,425000.0,425000.0,425000.0,425000.0
237,townhouse,0,2007,0.0,,,,,,,
238,townhouse,0,2008,1.0,500000.0,,500000.0,500000.0,500000.0,500000.0,500000.0
239,townhouse,0,2009,3.0,516333.3333333333,40991.86911246343,469000.0,504500.0,540000.0,540000.0,540000.0
240,townhouse,0,2010,9.0,570666.6666666666,138448.54639901422,400000.0,480000.0,540000.0,625000.0,800000.0
241,townhouse,0,2011,7.0,538714.2857142857,30092.71387846946,490000.0,520000.0,542000.0,564500.0,570000.0
242,townhouse,0,2012,7.0,518000.0,51332.251070842394,450000.0,479000.0,518000.0,560000.0,580000.0
243,townhouse,0,2013,5.0,692600.0,154548.6978269309,478000.0,619000.0,699000.0,787000.0,880000.0
244,townhouse,0,2014,32.0,749092.1875,180708.30894252466,362000.0,625000.0,713500.0,863500.0,1152000.0
245,townhouse,0,2015,30.0,848900.0,257431.39025700648,368000.0,691250.0,872500.0,982000.0,1525000.0
246,townhouse,0,2016,31.0,839104.8387096775,216085.9567991554,440000.0,686500.0,800000.0,958500.0,1280000.0
247,townhouse,0,2017,24.0,1030312.5,424137.9444519354,485000.0,772750.0,879000.0,1260000.0,2235000.0
248,townhouse,0,2018,19.0,850842.1052631579,182537.82352582124,608500.0,707500.0,810000.0,987500.0,1180000.0
249,townhouse,0,2019,32.0,886781.25,280635.9695032557,560000.0,728125.0,806500.0,940750.0,1830000.0
250,townhouse,0,2020,39.0,852392.3076923077,178284.8214819484,540100.0,745250.0,828000.0,970500.0,1305500.0
